Error ID,Error Type,Description,Possible Causes,Solution
58,Docker Container Exit with Code 1,Docker container exits unexpectedly with code 1,- Application crash- Incorrect Dockerfile setup- Resource allocation issues,- Check application logs inside the container- Increase resource limits- Adjust Dockerfile
59,Dockerfile Permissions Error,Dockerfile cannot be accessed due to permission issues,- Incorrect file permissions on the Dockerfile- Dockerfile not found in the build context directory,- Ensure the correct permissions on Dockerfile- Verify Dockerfile is in the build context
60,Docker Container Timeout,Docker container times out during startup or execution,- Long startup time- Application issues- Resource exhaustion,- Increase timeout for container startup- Check container and application logs
61,Docker Push Timeout,Docker image push to registry times out,- Slow internet connection- Large image size- Registry issues,- Check network speed- Compress images- Ensure registry service is up
62,Cannot Stop Running Container,Docker container cannot be stopped,- Container in a stuck state- Insufficient privileges- System resource exhaustion,- Use docker kill to force stop- Check system resource usage- Investigate Docker daemon status
63,Docker Daemon Out of Memory,Docker daemon crashes or becomes unresponsive due to memory issues,- Insufficient system memory- Too many containers consuming memory- Memory leak in a container,- Allocate more memory to Docker- Monitor memory usage of containers- Restart Docker daemon
64,Docker Registry Auth Timeout,Docker registry authentication times out,- Slow registry server- Network issues- Invalid credentials,- Retry after some time- Check network connection- Ensure registry credentials are valid
65,Docker Network Not Found,Docker container cannot connect to specified network,- Network misconfiguration- Network does not exist- Docker network issue,- Ensure the network exists- Check Docker network settings- Create missing network
66,Docker Build Context Exceeded,Docker build context size exceeds limit,- Large files in build context- Files not excluded in .dockerignore,- Add unnecessary files to .dockerignore- Reduce the build context size
67,Docker Build Cache Not Used,Docker build cache is not used during build,- Cache invalidation due to Dockerfile changes- No cache available,- Review Dockerfile for cache optimizations- Use docker build --no-cache to rebuild without cache
68,Docker Registry Not Reachable,Docker cannot connect to the registry,- DNS resolution issue- Docker Hub registry down- Firewall blocking access,- Check network and DNS settings- Verify Docker registry status- Review firewall configuration
69,Docker Volume Permissions Issue,Docker container cannot access mounted volume,- Incorrect volume permissions- File system access issues,- Check and adjust permissions on the volume- Use the correct volume mount syntax
70,Image Tag Not Found,Docker image with specific tag is not found,- Tag not specified correctly- Image not available in the registry,- Verify the image tag- Check image availability in the registry
71,Docker Disk Space Full,"Docker storage is full, causing image or container failures",- Large number of unused images and containers- Large build context,- Clean up unused containers and images- Increase disk space on the host machine
72,Docker Container Restart Failure,Docker container fails to restart after being stopped,- Misconfigured restart policy- Application issues inside container,- Review and adjust restart policy settings- Investigate application logs for errors
73,Invalid Docker Command,Docker command fails due to invalid syntax or parameters,- Incorrect command syntax- Missing parameters or flags,- Verify the Docker command syntax- Check the Docker documentation for correct usage
74,Docker Container Crash Loop,Docker container enters a crash loop,- Application crashes repeatedly- Docker misconfiguration- Resource limits exceeded,- Check application logs inside container- Adjust resource limits- Review Dockerfile for issues
75,Docker Compose Command Fails,Docker Compose command fails to execute,- Incorrect docker-compose.yml syntax- Missing or invalid parameters in Compose file,- Validate docker-compose.yml syntax- Ensure all required parameters are set
76,Docker Registry Error 500,Docker registry returns a 500 internal server error,- Docker registry server issue- Temporary outage- Overloaded registry server,- Retry after some time- Check registry status or contact support
77,Docker Hub Account Limit Reached,Docker Hub rate limit exceeded for pulls,- Exceeded Docker Hub rate limits for anonymous users,- Use Docker Hub Pro for higher limits- Wait for the rate limit to reset
78,Cannot Attach to Container,Docker fails to attach to a container,- Container is in stopped or paused state- Insufficient privileges,- Ensure the container is running- Use docker start to resume paused container
79,Docker Memory Limits Not Set,Docker container exceeds memory limits and crashes,- No memory limits set for the container- Application requires more memory than allocated,- Set memory limits using --memory flag- Optimize memory usage inside the container
80,Docker Container Port Conflict,Two containers try to bind to the same host port,- Port conflict between multiple containers,- Use different host ports for each container- Review docker-compose.yml port mappings
81,Docker Pull Command Fails,Docker pull command fails for image,- Image not available- Network issues- Invalid tag specified,- Verify image availability in the registry- Ensure network stability- Double-check image tag
82,Docker Container Cannot Connect to Database,Docker container cannot connect to database,- Database container not running- Network misconfiguration- Incorrect database credentials,- Ensure database container is running- Verify database credentials and connection string
83,Docker File Not Found,Dockerfile not found when building an image,- Incorrect Dockerfile path- Dockerfile missing in build context,- Ensure Dockerfile is in the build context- Verify the Dockerfile location
84,Container Not Starting After Docker Restart,Container fails to start after Docker daemon restart,- Misconfigured restart policy- Dependency issues,- Check restart policy configuration- Investigate container dependency issues
85,Docker Image Push Rejected,Docker image push to registry rejected,- Invalid repository access- Insufficient permissions,- Ensure proper repository access- Check Docker Hub or registry permissions
86,Docker Container Log Rotation Issue,Docker container logs not rotating correctly,- Log rotation configuration missing- Docker logging driver issues,- Configure log rotation in Docker settings- Review logging driver and configuration
87,Docker Container Exited Unexpectedly,Docker container exits unexpectedly,- Application error inside the container- Docker misconfiguration,- Check container logs for application errors- Ensure correct configuration for container start
88,Docker Push Not Working with Proxy,Docker push fails when using a proxy,- Proxy configuration issues- Registry not reachable through proxy,- Review proxy settings- Ensure Docker is correctly configured for proxy usage
89,Docker Volume Mount Fail,Docker fails,,
90,Docker Network Not Found,Docker cannot find a specified network for containers,- Network misconfiguration,- Ensure network exists before starting containers
,Docker Network Not Found,Docker cannot find a specified network for containers,- Network not created before container start,- Create missing networks
91,Docker Container Crash After Start,Docker container crashes immediately after start,- Application error,- Review application logs inside the container
,Docker Container Crash After Start,Docker container crashes immediately after start,- Incorrect Docker configuration,- Check Dockerfile for misconfigurations
,Docker Container Crash After Start,Docker container crashes immediately after start,- Missing required files,
92,Docker Image Size Too Large,Docker image size too large for efficient deployment,- Including unnecessary files in the image,- Optimize the Dockerfile to reduce size
,Docker Image Size Too Large,Docker image size too large for efficient deployment,- Large build context files,- Use .dockerignore to exclude unnecessary files
93,Docker Build Time Too Long,Docker build process takes too long,- Large build context,- Optimize the Dockerfile
,Docker Build Time Too Long,Docker build process takes too long,- Inefficient Dockerfile,- Reduce build context size
,Docker Build Time Too Long,Docker build process takes too long,- Slow network dependencies,- Use cached layers where possible
94,Docker Cannot Find Image Tag,Docker cannot find specified image tag during build,- Incorrect tag specified,- Ensure correct image tag is used
,Docker Cannot Find Image Tag,Docker cannot find specified image tag during build,- Image does not exist in the registry,- Verify image availability in the registry
95,Docker Logs Not Being Written,Docker logs not written to disk or stdout,- Misconfigured logging driver,- Configure proper logging driver
,Docker Logs Not Being Written,Docker logs not written to disk or stdout,- No log configuration in Dockerfile,- Adjust Dockerfile to ensure logging configuration is correct
96,Docker Container Logs Full,Docker container logs take up too much space,- Unregulated logging inside container,- Set up log rotation for containers
,Docker Container Logs Full,Docker container logs take up too much space,- No log rotation or cleanup configured,- Periodically clean up logs using docker logs commands
97,Docker Compose Pull Timeout,Docker Compose pull command times out,- Slow internet connection,- Retry after some time
,Docker Compose Pull Timeout,Docker Compose pull command times out,- Registry server timeout,- Check network speed and registry server status
98,Docker Build Context Too Large,Docker build context exceeds the maximum allowed size,- Unnecessary files included in the build context,- Use .dockerignore to exclude unnecessary files
,Docker Build Context Too Large,Docker build context exceeds the maximum allowed size,- Large binaries or logs,- Keep the build context as small as possible
99,Docker Registry Unavailable,Docker registry service unavailable,- Registry server down,- Check the status of the registry
,Docker Registry Unavailable,Docker registry service unavailable,- Network connection issues,- Check your network connection and retry later
100,Docker Container Access Denied,Docker container access denied to certain resources,- Permissions issues,- Adjust user and group permissions in Dockerfile
,Docker Container Access Denied,Docker container access denied to certain resources,- Missing user/group configuration in Dockerfile,- Verify access control policies and configurations
1,Pod Scheduling Failure,Pods cannot be scheduled onto a node,- Insufficient resources- Node taints- Resource quotas exceeded,- Check available resources- Ensure nodes are not tainted incorrectly- Adjust resource requests/limits
2,Image Pull Error,Kubernetes cannot pull the container image,- Invalid image name- Docker registry issues- Missing authentication credentials,- Verify image name and tag- Check registry access credentials- Ensure internet connectivity
3,Pod CrashLoopBackOff,Pod continuously crashes and restarts,- Application crashes- Insufficient resources- Misconfigured health checks,- Check container logs- Review resource limits and requests- Ensure proper health check configuration
4,Pod Not Found,Kubernetes cannot find a pod by name,- Pod has been deleted- Incorrect pod name- Namespace mismatch,- Verify pod name and namespace- Ensure pod has not been deleted
5,Node Not Ready,Node in the cluster is not in a ready state,- Network issues- Node hardware failure- Kubernetes components failing,- Check node logs- Ensure network connectivity- Restart affected Kubernetes components
6,Resource Limit Exceeded,Pod cannot be scheduled due to exceeding resource limits,- Resource requests and limits not set correctly- Cluster node resource shortage,- Set appropriate resource requests and limits- Ensure cluster nodes have sufficient resources
7,Failed to Mount Volume,Kubernetes cannot mount a volume to a pod,- Volume not created- Incorrect mount path or permission issues- Volume configuration mismatch,- Verify volume configuration- Check for correct volume path and permissions- Create missing volumes
8,Taint Effect Error,Pods fail to schedule due to node taints,- Node taints do not allow scheduling- Tolerations not set in pod configuration,- Remove unnecessary taints from nodes- Add appropriate tolerations to pod specifications
9,Kubelet Unhealthy,Kubelet on node is unhealthy or unreachable,- Kubelet process failed- Network issues- Kubelet configuration errors,- Restart kubelet- Check node network connectivity- Review kubelet logs
10,Failed Pod Liveness Probe,Kubernetes fails liveness probe for pod,- Application crashes- Incorrect probe configuration- Slow application startup,- Adjust liveness probe parameters- Review application startup time- Check container logs
11,Failed Pod Readiness Probe,Kubernetes fails readiness probe for pod,- Application not ready- Incorrect readiness probe configuration- Application crashes,- Adjust readiness probe settings- Review application logs- Ensure application is ready to serve
12,Kubernetes API Server Unreachable,Kubernetes API server is unreachable or unresponsive,- API server crash- Network connectivity issues- Firewall blocking API access,- Check API server logs- Ensure network access to API server- Restart API server if necessary
13,Pod Eviction Error,Pods are unexpectedly evicted from nodes,- Resource pressure on the node- Node failure- Pod quality of service (QoS) issues,- Review node resource availability- Check pod QoS configuration- Rebalance workloads if needed
14,Service Not Found,Kubernetes service is not reachable,- Service misconfigured- Endpoints not created- Pod not ready,- Check service definition- Ensure correct endpoints- Verify pod readiness
15,Invalid Secret or ConfigMap,Kubernetes fails to mount a secret or ConfigMap,- Incorrect key names- Missing secret or config map- Incorrect namespace,- Verify secret and ConfigMap names and keys- Ensure resources are in the correct namespace
16,Namespace Not Found,Kubernetes cannot find a specified namespace,- Namespace does not exist- Incorrect namespace specified in the command,- Create the namespace if missing- Correct the namespace reference in configuration
17,Ingress Controller Error,Ingress controller fails to route traffic to pods,- Incorrect ingress configuration- Controller not deployed- Service misconfigured,- Review ingress configuration- Ensure ingress controller is deployed- Check DNS and service settings
18,ReplicaSet Scaling Failure,ReplicaSet fails to scale pods as requested,- Insufficient resources- Incorrect pod specifications- ReplicaSet configuration error,- Verify pod specifications- Ensure sufficient resources are available- Check ReplicaSet settings
19,Pod Not Terminating,Pod stuck in terminating state,- Resource contention- Finalizer block- Stuck containers,- Check finalizer configuration- Force delete pod with kubectl delete pod --force
20,Helm Chart Installation Failure,Helm chart installation fails,- Incorrect chart version- Insufficient permissions- Chart values misconfigured,- Verify chart values- Ensure proper permissions- Check Helm and Kubernetes versions
21,Kubernetes Scheduler Not Running,Kubernetes scheduler fails to start or crashes,- Resource contention- Configuration issue- Kubernetes component failure,- Check scheduler logs- Ensure system has sufficient resources for scheduling
22,PVC Bound to Wrong Storage Class,Persistent volume claim is bound to the wrong storage class,- Incorrect storage class specified- Storage class misconfiguration,- Ensure the correct storage class is specified in PVC configuration
23,Network Policy Denied,Pod cannot communicate due to network policy,- Network policy misconfiguration- Denied ingress or egress traffic,- Review network policy configuration- Check allowed ingress and egress traffic
24,Cluster Autoscaler Not Scaling,Cluster autoscaler fails to scale nodes,- Insufficient permissions- Misconfigured scaling policy- Resource request mismatch,- Verify scaling policy and permissions- Ensure resources are correctly requested for autoscaling
25,Docker Daemon Crash,Docker daemon fails on nodes where Kubernetes runs,- Docker daemon failure- Node resource exhaustion- Misconfiguration,- Restart Docker daemon- Check system logs for errors- Ensure sufficient node resources
26,Persistent Volume Not Available,Persistent volume not available to pods,- Incorrect volume configuration- Volume provisioner failure- PVC not bound correctly,- Verify volume configuration- Check storage class and PVC binding status
27,Failed to Load Kubernetes Dashboard,Kubernetes dashboard not loading or erroring,- Incomplete dashboard installation- API server access issues- Resource issues,- Verify dashboard installation- Ensure API server access- Check resource limits
28,NodeOutOfDisk Error,Node reporting "NodeOutOfDisk" status,- Disk space exhausted- Logs or container storage filling up,- Clear logs and unused containers- Increase node disk space- Configure resource limits
29,Node Not Scheduling Pods,Pods fail to be scheduled due to unavailability of suitable node,- Resource requirements not met- Node selector issues- Affinity rules misconfigured,- Adjust resource requirements- Review node selectors and affinity rules
30,Pod Not Found in Endpoint,Pod missing from service endpoint list,- Pod not part of the service- Pod not ready or not running,- Ensure service selector matches pod labels- Check pod readiness and running status
31,API Server Certificate Expired,Kubernetes API server certificate expired,- Expired API server certificates- Misconfigured certificate renewal process,- Renew or replace API server certificates- Configure automatic certificate renewal
32,KubeDNS Resolution Failure,DNS resolution fails in the cluster,- DNS pod failure- Misconfigured DNS service- Network policy preventing access,- Restart kube-dns pods- Check DNS service and network policies
33,Pod Resource Quota Exceeded,Pod exceeds resource quota and cannot be scheduled,- Incorrect resource requests- Quota set too low,- Increase resource quotas- Optimize pod resource requests
34,ClusterRoleBinding Error,Unable to bind a user or service account to a ClusterRole,- Incorrect role or rolebinding configuration- Missing permissions,- Verify ClusterRole and ClusterRoleBinding configuration- Ensure user/service account has permissions
35,KubeProxy Crash,KubeProxy fails or crashes on nodes,- KubeProxy misconfiguration- Resource exhaustion- Network issues,- Restart KubeProxy pods- Review KubeProxy logs for errors
36,Invalid ConfigMap Reference,Pod cannot mount a ConfigMap due to invalid reference,- Incorrect ConfigMap name- Incorrect key reference in pod spec,- Verify ConfigMap names and keys- Ensure correct reference in pod specifications
37,ReplicaSet Not Scaling Pods,ReplicaSet does not scale pods as expected,- Insufficient resources- Incorrect number of replicas set- Deployment issues,- Check deployment and ReplicaSet configuration- Review available resources
38,Pod Insufficient Permissions,Pod cannot perform certain actions due to lack of permissions,- Incorrect ServiceAccount or RBAC roles- Misconfigured security policies,- Adjust RBAC roles and permissions- Verify service account and role bindings
39,Kubelet Out of Memory,Kubelet on node runs out of memory and crashes,,- Adjust RBAC roles and permissions- Verify service account and role bindings
40,ConfigMap Not Found,Kubernetes cannot find the specified ConfigMap,- ConfigMap missing,- Verify ConfigMap exists and is in the correct namespace
,ConfigMap Not Found,Kubernetes cannot find the specified ConfigMap,- Incorrect namespace or name referenced,- Verify ConfigMap exists and is in the correct namespace
41,Node Disk Pressure,Node reports "DiskPressure" and cannot schedule pods,- Insufficient disk space,- Free up space or add more disk capacity
,Node Disk Pressure,Node reports "DiskPressure" and cannot schedule pods,- Disk running out of inode capacity,- Review node storage utilization
42,Pod Init Container Fails,Pod fails to start due to init container failure,- Init container misconfiguration,- Review init container logs
,Pod Init Container Fails,Pod fails to start due to init container failure,- Dependencies not met,- Ensure dependencies are met before container starts
,Pod Init Container Fails,Pod fails to start due to init container failure,- Init container crashing,- Ensure dependencies are met before container starts
43,ResourceNotFound Error,Resource not found when querying Kubernetes API,- Resource deleted,- Verify resource exists and is in the correct namespace
,ResourceNotFound Error,Resource not found when querying Kubernetes API,- Incorrect resource name,- Check the API version used
,ResourceNotFound Error,Resource not found when querying Kubernetes API,- Incorrect API version or group,- Check the API version used
44,Scheduling Timeout,Pod cannot be scheduled within the timeout period,- Cluster resource exhaustion,- Check available resources
,Scheduling Timeout,Pod cannot be scheduled within the timeout period,- Misconfigured scheduler settings,- Adjust scheduling timeouts and resource allocation
45,Ingress Timeout,Ingress controller fails to route traffic due to timeouts,- Incorrect timeout values- Backend service slow or unresponsive- Network latency issues,- Adjust timeout settings in ingress- Ensure backend service is responsive- Check network conditions
46,Invalid API Version,API version mismatch or invalid version used,- Deprecated API version- Incorrect API version in resource definition,- Update to a supported API version- Modify resource definitions to use correct API version
47,Container Not Found,Kubernetes cannot find the container within the pod,- Incorrect container name- Container failed to start- Pod not fully initialized,- Verify container name- Check pod initialization logs- Ensure pod is running
48,No Nodes Available for Scheduling,No suitable nodes available for scheduling pods,- All nodes unschedulable due to resource constraints- No nodes meeting pod affinity/anti-affinity rules,- Check node resource usage and availability- Adjust affinity/anti-affinity rules- Scale cluster nodes
49,Failed to Create Deployment,Kubernetes deployment creation failed,- Invalid configuration- Resource quota exceeded- Missing dependencies,- Verify deployment YAML syntax- Check resource quota- Ensure dependencies are present
50,Failed to Delete Resource,Unable to delete Kubernetes resource,- Resource locked by finalizer- Insufficient permissions- Resource already deleted,- Check for and remove finalizers manually- Ensure sufficient RBAC permissions- Retry deletion process
51,Namespace Quota Exceeded,Resource quota exceeded in a namespace,- Resources over requested limit- Incorrect namespace resource limits set,- Adjust resource quotas for the namespace- Scale down workloads if needed
52,DNS Resolution Timeout,Kubernetes DNS resolution takes too long or fails,- DNS server not responding- Network policy blocking DNS traffic- Resource contention,- Check DNS pod and network configuration- Ensure DNS service is functioning properly
53,API Server Authentication Failure,API server authentication fails,- Invalid API credentials- Missing or expired authentication tokens- RBAC misconfiguration,- Verify API credentials- Ensure service account tokens are valid- Adjust RBAC policies
54,Failed to Update Deployment,Deployment update failed to propagate changes,- Deployment misconfigured- Inadequate resources for new replicas- Rolling update failure,- Check deployment configuration- Ensure resources for new pods are available- Retry update process
55,Pod Stuck in Pending State,Pod stuck in "Pending" state and not being scheduled,- Resource requests too high- Node resource exhaustion- Pod affinity rules prevent scheduling,- Adjust pod resource requests- Check node resource availability- Modify pod affinity settings
56,Out of Sync ReplicaSet,ReplicaSet out of sync with the number of replicas,- Incorrect replica count- Pods failing to start- Resource limits not met,- Adjust replica count- Review pod logs to ensure they start correctly- Ensure enough resources are available
57,Missing Persistent Volume,Persistent volume missing or not found,- PVC not bound- PVC and PV mismatch- Storage class misconfiguration,- Ensure PVC is correctly bound to a PV- Check storage class and resource availability
58,Node Unschedulable,Node marked as unschedulable by the scheduler,- Node under maintenance- Resource pressure on node- Taints applied to node,- Check node status and taints- Ensure resources are available for scheduling
59,Pod Termination Delay,Pod termination takes too long and causes resource contention,- Termination grace period too long- Resource contention during shutdown,- Reduce termination grace period- Investigate pod shutdown behavior
60,Network Policy Drop,Network policy drops traffic unexpectedly,- Network policy misconfiguration- Network policy not allowing traffic between pods,- Review and adjust network policy rules- Ensure the correct ingress and egress settings for services
61,Pod Cannot Start Due to Storage,Pod cannot start due to missing or unavailable storage,- Volume not attached- Storage provider issues- Incorrect volume claim configuration,- Ensure volume is correctly mounted- Check storage provider and claim configuration
62,Failed to Create Service Account,Unable to create service account for pod,- Missing permissions- Service account already exists or conflicts,- Ensure RBAC permissions are correct- Verify service account creation permissions
63,Invalid Kubeconfig File,Kubeconfig file is invalid or misconfigured,- Invalid context or cluster reference- Incorrect authentication or permissions,- Check kubeconfig file format and context- Verify authentication credentials and cluster access
64,Out of Memory Error in Pod,Pod crashes due to out-of-memory (OOM) error,- Insufficient memory allocated- Application memory leak or high memory usage,- Adjust memory resource requests and limits- Monitor pod memory usage- Check application logs for leaks
65,Pod Disconnected from Network,Pod cannot connect to the network,- CNI plugin failure- Network misconfiguration- Pod networking settings incorrect,- Restart CNI plugin- Review network configurations and settings
66,Failed to Authenticate with Registry,Kubernetes fails to authenticate with container registry,- Invalid registry credentials- Registry downtime- Network issues,- Verify registry credentials- Check network connectivity and registry status
67,Secret Not Available,Secret not found in the pod,- Secret not created- Secret misconfigured or missing in the namespace,- Verify secret creation- Ensure secret is in the correct namespace
68,Pod Security Policy Violation,Pod does not meet security policies,"- Violation of security policies (e.g., privileged container)- Insufficient RBAC permissions",- Review and adjust Pod Security Policies (PSPs)- Ensure compliance with security guidelines
69,Cluster Control Plane Unhealthy,Kubernetes control plane components are unhealthy,- Control plane component failure- Insufficient resource allocation- Misconfiguration,- Restart control plane components- Check for resource contention and adjust control plane settings
70,Cannot Connect to Docker Daemon,Kubernetes cannot connect to Docker daemon on node,- Docker daemon not running- Network connectivity issues between node and daemon,- Restart Docker daemon- Check network settings and firewall rules
71,Invalid Affinity Rules,Pod cannot be scheduled due to invalid affinity rules,- Incorrect affinity configuration- No matching node found that satisfies the affinity rules,- Review pod affinity and anti-affinity rules- Ensure nodes meet affinity criteria
72,Cluster Autoscaler Timeout,Cluster autoscaler fails to scale nodes within timeout,- Insufficient permissions- Node resource exhaustion- Misconfigured autoscaling policies,- Verify autoscaling policies- Check resource usage on nodes- Ensure proper permissions for autoscaling
73,Pod Disconnected from Persistent Volume,Pod cannot access a persistent volume,- Volume unmounted or detached- Incorrect volume configuration- Persistent volume failure,- Verify persistent volume status- Ensure correct volume mounts in pod specification
74,Failed to Initialize API Server,Kubernetes API server fails to initialize,- Configuration error- Insufficient resources for API server- Node failure,- Check API server logs- Ensure sufficient system resources for the API server
75,Resource Unavailable in Namespace,Resource unavailable or failed in specific namespace,- Resource not created- Incorrect namespace configuration- Missing dependencies,- Verify resource availability in namespace- Ensure proper namespace and resource configuration
76,Failed to Resolve Load Balancer,Kubernetes fails to resolve the service load balancer,- Load balancer misconfigured- Endpoint or service issue- Network issues,- Review load balancer configuration- Ensure backend service and endpoints are correct
77,Pod Failed to Join Network,Pod fails to join network due to CNI issues,- CNI plugin misconfiguration- Network policy blocking communication- Node resource constraints,- Check CNI plugin logs- Review network policy settings- Ensure sufficient node resources
78,Node Disk Pressure,Disk pressure causing pods to fail scheduling,- Full disk on the node- High I/O operations or log file accumulation,- Clean up disk space or increase node disk size- Monitor and manage disk usage
79,Resource Conflict in Pod,Pod cannot be scheduled due to resource conflict,- Resource overlap between pods- Resource request/limit conflicts,- Review resource requests and limits for conflicting pods- Adjust pod configuration
80,Kubelet Restart Required,Kubelet must be restarted after configuration change,- Kubelet misconfiguration- Changes to node configuration require restart,- Restart kubelet service- Apply necessary configuration changes and verify
81,No Matching Node for Pod,No node can be found that satisfies pod scheduling criteria,- Node selectors or affinity rules mismatch- No suitable resources on available nodes,- Review node selectors- Ensure that nodes meet pod scheduling criteria
82,Failed to Scale Deployment,Deployment scaling operation fails,- Resource exhaustion- Misconfiguration of replica count or scaling settings,- Check available resources- Review deployment scaling configuration
83,Failed to Apply Network Policy,Network policy failed to apply correctly,- Misconfigured network policies- Network policy resources missing,- Review network policy rules and configurations- Ensure proper resource existence
84,Pod Failure Due to Image Pull,Pod fails to pull image during startup,- Image not available- Incorrect image name or tag- Network connectivity issues,- Verify image name and tag- Ensure correct registry access
85,Stale ReplicaSet,ReplicaSet deployment out of sync with desired state,- ReplicaSet misconfiguration- Insufficient resources or pods failing to start,- Check and adjust the ReplicaSet configuration- Ensure sufficient resources for scaling
86,Persistent Volume Not Mounted,Persistent volume not mounted to pod as expected,- Volume binding failure,- Check PersistentVolume (PV) and PersistentVolumeClaim (PVC) status
,Persistent Volume Not Mounted,Persistent volume not mounted to pod as expected,- Incorrect volume mount configuration,- Verify volume mount in pod spec
,Persistent Volume Not Mounted,Persistent volume not mounted to pod as expected,- PV misconfiguration,- Verify volume mount in pod spec
87,Pod Restart Failure,Pod fails to restart after failure or deployment,- Insufficient resources,- Review pod restart policy
,Pod Restart Failure,Pod fails to restart after failure or deployment,- Misconfigured restart policy,- Check available resources
,Pod Restart Failure,Pod fails to restart after failure or deployment,- Resource constraints,- Ensure node has enough resources
88,Node Out of Resources,"Node has run out of memory, CPU, or disk resources",- Node resource exhaustion,- Review node resource usage
,Node Out of Resources,"Node has run out of memory, CPU, or disk resources",- Overcommitted resource requests,- Scale the cluster if necessary
,Node Out of Resources,"Node has run out of memory, CPU, or disk resources",- Multiple pods competing for resources,- Adjust pod resource requests
89,Cluster Autoscaler Not Working,Cluster autoscaler fails to scale nodes,- Permissions issues,- Verify autoscaler configuration
,Cluster Autoscaler Not Working,Cluster autoscaler fails to scale nodes,- Misconfigured autoscaler settings,- Ensure permissions for autoscaler to add/remove nodes
,Cluster Autoscaler Not Working,Cluster autoscaler fails to scale nodes,- Resource requests mismatch,- Ensure permissions for autoscaler to add/remove nodes
90,Pod Security Context Violation,Pod fails due to security context violation,- Security context not properly defined,- Adjust pod security context
,Pod Security Context Violation,Pod fails due to security context violation,- Pod runs with excessive privileges,- Use least-privilege policies for containers
,Pod Security Context Violation,Pod fails due to security context violation,- Privileged containers,- Use least-privilege policies for containers
91,ResourceQuota Misconfiguration,Resource quota misconfiguration preventing pod creation,- Resource requests and limits not compatible with quota,- Adjust resource requests and limits
,ResourceQuota Misconfiguration,Resource quota misconfiguration preventing pod creation,- Quota limits exceeded,- Review resource quota for the namespace
92,Node Maintenance Mode,Node enters maintenance mode and cannot schedule pods,- Manual intervention,- Verify node status
,Node Maintenance Mode,Node enters maintenance mode and cannot schedule pods,- Maintenance flags set on node,- Remove node from maintenance mode
,Node Maintenance Mode,Node enters maintenance mode and cannot schedule pods,- Cluster issues,- Check for cluster issues affecting node
93,Pod Restarts Too Frequently,Pod restarts unexpectedly due to crashes or misconfigurations,- Application crashes,- Review application logs
,Pod Restarts Too Frequently,Pod restarts unexpectedly due to crashes or misconfigurations,- Incorrect configuration,- Adjust resource requests/limits
,Pod Restarts Too Frequently,Pod restarts unexpectedly due to crashes or misconfigurations,- Resource exhaustion,- Monitor pod behavior
94,Failed to Mount ConfigMap,Kubernetes fails to mount a ConfigMap into the pod,- Incorrect key in the ConfigMap,- Verify ConfigMap keys and name
,Failed to Mount ConfigMap,Kubernetes fails to mount a ConfigMap into the pod,- ConfigMap missing,- Ensure the ConfigMap is in the correct namespace
,Failed to Mount ConfigMap,Kubernetes fails to mount a ConfigMap into the pod,- Incorrect namespace or resource reference,- Ensure the ConfigMap is in the correct namespace
95,Failed to Create Secret,Kubernetes fails to create a secret from YAML,- Invalid secret format,- Review secret YAML file format
,Failed to Create Secret,Kubernetes fails to create a secret from YAML,- Insufficient permissions,- Ensure proper permissions for secret creation
,Failed to Create Secret,Kubernetes fails to create a secret from YAML,- Resource misconfiguration,
96,Node Disk Exhaustion,Node running out of disk space or inode capacity,- Logs or file storage filling up the disk,- Free up disk space or extend disk capacity
,Node Disk Exhaustion,Node running out of disk space or inode capacity,- High I/O or large file sizes,- Set up log rotation or file cleanup
,Node Disk Exhaustion,Node running out of disk space or inode capacity,- Application data accumulating,- Set up log rotation or file cleanup
97,Stuck Deployment Rollout,Deployment rollout is stuck and unable to complete,- Insufficient resources,- Check deployment status and logs
,Stuck Deployment Rollout,Deployment rollout is stuck and unable to complete,- Application startup issues,- Ensure sufficient resources are available for pod startup
,Stuck Deployment Rollout,Deployment rollout is stuck and unable to complete,- Incorrect configuration,- Ensure sufficient resources are available for pod startup
98,Kubernetes Control Plane Overload,Control plane components overwhelmed and unresponsive,- Resource exhaustion,- Scale control plane resources
,Kubernetes Control Plane Overload,Control plane components overwhelmed and unresponsive,- Too many requests to the control plane,- Review control plane component logs for errors
,Kubernetes Control Plane Overload,Control plane components overwhelmed and unresponsive,- Misconfigured control plane components,- Review control plane component logs for errors
99,Outdated Kubelet Version,Kubelet version outdated or incompatible,- Version mismatch between Kubernetes control plane and Kubelet,- Update Kubelet to the supported version
,Outdated Kubelet Version,Kubelet version outdated or incompatible,- Missing patches or updates,- Ensure compatibility between Kubelet and control plane versions
100,Memory Leak in Pod,"Pod experiencing memory leaks, causing restarts",- Application code with memory leaks,- Review application code for memory leaks
,Memory Leak in Pod,"Pod experiencing memory leaks, causing restarts",- Insufficient memory limits,- Adjust memory limits and garbage collection settings
,Memory Leak in Pod,"Pod experiencing memory leaks, causing restarts",- Misconfigured garbage collection,- Adjust memory limits and garbage collection settings
1,Merge Conflict,Merge conflict when merging branches,- Conflicting changes made in the same file,- Resolve conflicts manually- Use git mergetool to resolve conflicts
2,Detached HEAD,Working in a detached HEAD state where you are not on any branch,- Checked out a specific commit instead of a branch,- Checkout a branch using git checkout <branch-name>
3,Untracked Files,Files are untracked in the repository,- New files not added to Git,- Use git add <file> to stage the files and git commit to commit them
